Fish Name,Thai Fish Name,Scientific Name,Order Name,General Description,Physical Description,habitat,Avg Length(cm),Avg Age(years),Avg DepthLevel(m),Avg Weight(kg)
Royal angelfish,ปลาหงส์หลวง,Pygoplites diacanthus,Perciformes,"Royal angelfish is a vibrant Indo-Pacific reef fish, reaching up to 25 cm. It features striking yellow and blue vertical stripes, a blue stripe through the eye, and long, flowing dorsal and anal fins. Found in coral-rich lagoons and seaward reefs from the Red Sea to the central Pacific, it prefers depths of 3–60 m. In aquariums, it is shy and sensitive, often refusing food if stressed or housed with aggressive tankmates, but can thrive with gentle companions and proper care. Wild-caught specimens may require freshwater dips for parasites.","body: The Royal angelfish has a flat, disc-shaped body with a rounded abdomen and a long, pointed snout, reaching a maximum length of approximately 18 centimeters or 7 inches; colors: They display striking yellow and blue coloration patterns, with the body being predominantly yellow, while the fins, face, and vertical stripes are blue; features: They have long, flowing dorsal and anal fins, as well as large, iridescent scales that reflect light, and a distinctive head shape featuring a long, pointed snout; unique_marks: A key identifying characteristic of the Royal angelfish is the presence of a distinctive blue stripe that runs vertically through the eye, as well as a series of blue stripes along the body, which can vary in number but are typically three or four.","Coral-rich lagoons and seaward reefs across Indo-Pacific; depth range 0–110 m, commonly 3–60 m.",20,15,110,1
Streaked spinefoot,ปลาสไปน์ฟุตลายขีด,Siganus javus,Perciformes,"Streaked spinefoot is a laterally compressed rabbitfish, typically reaching 30 cm. It has a small head with a slight indentation above the eyes, yellow cheeks and lips, and grey body with white spots and sinuous dark stripes on the flanks. The caudal fin is mostly blackish, and the dorsal, anal, and pelvic fins have golden spines. Found in shallow coastal waters, brackish lagoons, and rocky or coral reefs from the Persian Gulf to northern Australia, it forms small schools and feeds on benthic algae. Its fin spines contain venom, causing painful but rarely dangerous wounds.","body: The Streaked spinefoot has a moderately elongated and compressed body, typically reaching lengths of 20-25 centimeters, with a maximum recorded length of about 30 centimeters; colors: The body is generally pale brown to grayish-brown in color, with about 7-8 dark brown to black vertical stripes or streaks on the sides, and a yellowish-brown belly; features: The species has a pointed snout, a relatively small mouth, and a distinctive spine on the operculum; unique_marks: The Streaked spinefoot can be identified by the presence of a distinctive dark stripe running through the eye, the yellowish-brown color of the pectoral and anal fins, and the presence of a sharp spine on the operculum.","Coastal reefs, rocky shores, brackish lagoons and seagrass beds; depths 2–20 m.",30,3,20,0.48
Great barracuda,ปลาบาราคูด้าตัวใหญ่,Sphyraena barracuda,Perciformes,"Great barracuda is a large, predatory fish found in tropical and subtropical seas worldwide. Typically 60–100 cm but can exceed 1.5 m, it has an elongated, silver-gray body, pointed head, and powerful jaws with unequal, fang-like teeth. Two widely separated dorsal fins and a forked tail aid its bursts of speed up to 43 km/h. Barracudas are solitary ambush hunters, feeding mainly on fish. They may follow swimmers, attracted by shiny objects, but attacks are rare and usually non-lethal. Caution is advised near mangroves and when spearfishing.","body: The Great barracuda has an elongated, slender body, typically silver-gray in color, with a pointed head and a long, pointed snout, and can grow up to 6 feet (1.8 meters) in length and weigh up to 100 pounds (45 kilograms); colors: They have a silver-gray body with darker vertical stripes or spots that fade as they mature, and their belly is usually pale yellow or white; features: They have a distinctive set of large, pointed teeth and powerful jaws, a forked tail, and a dorsal fin that is divided into two separate fins, with the second dorsal fin being much smaller than the first; unique_marks: One unique identifying characteristic of the Great barracuda is the presence of a distinctive row of darker spots or stripes that run along their lateral line, and their large size and fearsome appearance make them easily recognizable.","Open seas, coral reefs, mangroves, and seagrasses worldwide in tropical/subtropical waters; depths from surface to 110 m, average daytime ~4 m.",80,14,110,38
Yellowtail barracuda,ปลาบาราคูด้าหางเหลือง,Sphyraena flavicauda,Perciformes,"Yellowtail barracuda is a slender, schooling fish found in Indo-West Pacific reefs and lagoons, now also in the Mediterranean. It grows up to 60 cm, but 35–40 cm is typical. The species has a pointed snout, large eyes, and a yellow tail with black margins. Two well-separated dorsal fins and fang-like teeth aid its nocturnal hunting of fish and invertebrates. Juveniles shelter in coastal waters; adults form schools by day. It hosts several parasites but is not dangerous to humans.","body: The Yellowtail barracuda has a slender, elongated body shape, typically growing to an average length of 30-60 cm, with a maximum recorded length of approximately 90 cm and weighing up to 3 kg; colors: Its body is predominantly silver or grayish in color with a distinctive yellow tail and yellow highlights on the fins and lower parts of the body, often featuring darker vertical stripes or spots along the sides; features: The species has a pointed head, a large mouth with many sharp teeth, and a distinctive pair of fangs, with a forked tail and two dorsal fins, the first of which has five spines; unique_marks: A key identifying feature of the Yellowtail barracuda is the presence of a distinctive yellow tail and the combination of a pointed snout and large mouth with sharp teeth.",Reef lagoons and slopes across Indo‑West Pacific and Mediterranean; depth range 2–25 m.,40,6,25,23
Pickhandle barracuda,ปลาบาราคูด้าลายขีด,Sphyraena jello,Perciformes,"Pickhandle barracuda is a large Indo-Pacific species, typically silver with about 20 wavy dark bars along its sides and a yellow tail. It has a pronounced underbite and can grow up to 1.8 m. Found in schools around coral reefs, it hunts at night and can be seen from 2–200 m depth. After spawning, its stomach expands for feeding. Also known as banded barracuda or sea pike, it is common in tropical Pacific waters.","body: The Pickhandle barracuda has an elongated, slender body shape with a pointed snout and a rounded abdomen, typically growing up to 1 meter in length, but can reach up to 1.8 meters in maximum length, and weigh up to 30 kilograms; colors: The body coloration is usually a grayish-silver color with a white belly, and a series of darker vertical bars or spots on the upper body, which can fade as the fish matures; features: The Pickhandle barracuda has a distinctive pointed snout, large eyes, and a prominent lower jaw, with two dorsal fins, the first with 5 spines, and the second with 9 rays, the anal fin has 2 spines and 9 rays, the caudal fin is forked, and the scales are small and cycloid; unique_marks: A distinctive characteristic of the Pickhandle barracuda is the presence of a long, pointed snout, which resembles a pick handle, hence the name, and the presence of a series of darker vertical bars or spots on the upper body, which can be used to distinguish it from other barracuda species.","Reef-associated, estuaries, bays, lagoons; Indo-West Pacific from Red Sea to Vanuatu and Tonga.",120,11,200,11.5
Blackfin barracuda,ปลาบาราคูด้าครีบดำ,Sphyraena qenie,Perciformes,"Blackfin barracuda is a large Indo-Pacific species, reaching up to 140 cm. It is recognized by 18–22 long, v-shaped black bands along its body, a blackish caudal fin, and elongated rays on the second dorsal and anal fins. Lacking gill rakers, it has a longer lower jaw and a conical-tipped upper jaw. Found in large schools on coral reefs down to 50 m, it leaves reefs at dusk to hunt in deeper waters. Not favored as a sport fish, it is used as bait and can accumulate high mercury levels.","body: The Blackfin barracuda has a long, slender, torpedo-shaped body, typically measuring between 30-100 cm in length, with the maximum recorded length being around 120 cm and weighing up to 20 kg; colors: The body is generally silvery gray with a white belly, and it has distinctive black tips on its fins and tail, and may also display a series of dark gray or brown spots or vertical bars on its sides; features: It has a pointed head, large mouth with sharp teeth, and a distinctive set of large, pointed dorsal and anal fins with black tips, its scales are small and smooth, and its lateral line is slightly curved; unique_marks: The most distinctive identifying characteristic of the Blackfin barracuda is the black tips on its dorsal, anal, and caudal fins, as well as the presence of 19-23 gill rakers on the lower limb of the first gill arch.",Coral reefs from the Red Sea and East Africa to French Polynesia; depth range 0–100 m.,140,5,100,7.14
Moorish idol,ปลามัวริชไอดอล,Zanclus cornutus,Perciformes,"Moorish idol is a striking reef fish, easily recognized by its disk-shaped body and long, trailing dorsal fin. Displaying bold black, white, and yellow bands, it inhabits tropical and subtropical reefs from East Africa to Hawaii and Peru, at depths of 3–180 m. Moorish idols feed on sponges, coral polyps, and benthic invertebrates. Usually solitary or in pairs, they are diurnal and mate for life. Notoriously difficult to keep in aquariums due to their specialized diet and sensitivity. Maximum length: 23 cm.","body: The Moorish idol has a laterally compressed, disk-shaped body, typically growing to a length of 15-20 centimeters, with a maximum recorded length of about 23 centimeters; colors: The Moorish idol is characterized by striking coloration patterns, featuring a predominantly yellow body with three vertical black stripes, the first stripe running through the eye, the second stripe behind the gill cover, and the third stripe at the base of the tail; features: The Moorish idol has long, pointed snout, small mouth, and large, rounded dorsal and anal fins that are pointed at the tips, with the dorsal fin being longer than the anal fin, and large, cycloid scales; unique_marks: A unique identifying characteristic of the Moorish idol is the long, pointed extension of the dorsal fin that is longer than the body of the fish, and the distinctive pattern of black and yellow stripes that run vertically along its body.","Tropical to subtropical reefs and lagoons; depths from 1 to 182 meters; found from East Africa, Indian Ocean, Pacific Islands to Hawaii and southern Japan.",20,4,15,0.2
Little dragonfish,ปลามังกรจิ๋ว,Eurypegasus draconis,Gasterosteiformes,"Little dragonfish is a small, bottom-dwelling fish recognized by its elongated body, bony armor, and superb camouflage, often resembling shell fragments or rubble. Males display a broad blue-white pectoral fin margin when disturbed. Found in estuaries and silty areas across the Indian Ocean to the Central Pacific, it reaches up to 15 cm. Distinguished from Pegasus species by fewer tail rings (8–9). Difficult to spot underwater due to its cryptic appearance.","body: The Little dragonfish has an elongated and slender body, typically measuring between 2-4 inches in length; colors: It exhibits a dark brown to black body coloration with a lighter brown or yellowish tint on its belly, and has a distinctive pattern of small, pale blue or white spots and stripes along its sides; features: It has large eyes, a relatively small mouth, and a distinctive head shape with a pointed snout, its dorsal fin is long and low, and its anal fin is similar in shape and size to the dorsal fin, it has large pectoral fins and a forked caudal fin; unique_marks: One of the most distinctive features of the Little dragonfish is the presence of a barbel or chin whisker, which is a long, thin, fleshy filament that extends from the chin, it also has a distinctive pattern of small, pale blue or white spots and stripes along its sides, and the ability to produce light through bioluminescence, which is used for communication and attracting prey.","Tropical Indo-Pacific waters, including the Red Sea; depths 3–90 m.",10,2,20,0.02
Indian mackerel,ปลาแมคเคอเรลอินเดีย,Rastrelliger kanagurta,Scombriformes,"Indian mackerel (Rastrelliger kanagurta) is a streamlined, silvery fish found in warm, shallow coastal waters from the Red Sea and East Africa to Australia and Samoa. Reaching up to 35 cm, it has thin dark bands on its back, a black spot near the pectoral fin, and yellowish fins. Indian mackerel feed mainly on macroplankton and are important in South and Southeast Asian cuisine. Spawning occurs in batches, with eggs left to develop independently. Juveniles eat phytoplankton; adults prefer shrimp and fish larvae.","body: The Indian mackerel has a streamlined, elongated body shape with a pointed head and a tapering tail, typically measuring between 15-30 centimeters in length, with a maximum recorded length of around 35 centimeters; colors: The body is a metallic blue color on the back, gradually transitioning to a silvery white on the belly, with a series of wavy, dark blue or black stripes running along the sides, often with a golden sheen; features: It has a pointed snout, a relatively small mouth, and a dorsal fin with 9-10 spines and 12-13 soft rays, an anal fin with 0 spines and 12-13 soft rays, and a lateral line with 40-45 scales; unique_marks: A distinctive characteristic of the Indian mackerel is the presence of a small, dark spot on the operculum, just behind the eye, and a series of small, dark spots or blotches along the lateral line, often forming a wavy pattern.","Shallow warm waters of Indian and West Pacific Oceans, from East Africa and Red Sea to Indonesia, China, Ryukyu Islands, Australia, and Samoa; depth range 20–90 m.",25,3,35,0.25
Trumpetfish,ปลาแตรทะเล,Aulostomus maculatus,Syngnathiformes,"Trumpetfish (Aulostomus maculatus) is a long, slender ambush predator found in tropical western Atlantic waters from Florida to Brazil. Growing up to 100 cm, it often swims vertically among corals, blending in with its surroundings by changing color. Trumpetfish use suction feeding to capture small fish and shrimp, sometimes shadowing larger fish for cover. Commonly mottled brown, but can appear yellow, green, or blue-gray. It is of minor commercial and aquarium interest, and is resilient despite habitat decline, listed as Least Concern by IUCN.","body: The Trumpetfish has an elongated, trumpet-shaped body that is typically brown or silver in color, with a long, pointed snout and a rounded abdomen, it can grow up to 3 feet in length; colors: The Trumpetfish has a mottled brown and silver coloration pattern with vertical stripes or spots that help it blend in with its surroundings, it can also have a yellow or white belly; features: The Trumpetfish has a distinctive elongated dorsal fin and a long, pointed anal fin, its scales are small and rough to the touch, and its head is long and pointed with a large mouth; unique_marks: One of the most distinctive features of the Trumpetfish is its ability to change color to blend in with its surroundings, it also has a long, pointed snout that it uses to catch prey, and its elongated body shape allows it to hide in narrow crevices and ambush its prey.",Tropical western Atlantic Ocean from Florida to Brazil; depth range 2–25 m.,60,6,12,0.5
Ornate ghost pipefish,ปลาหลอกชนิดอร่าม,Solenostomus paradoxus,Syngnathiformes,"Ornate ghost pipefish (Solenostomus paradoxus) is a small, well-camouflaged fish found from the Red Sea to Tonga, inhabiting reef edges, gorgonians, and floating weeds. Reaching up to 12 cm, it displays a range of colors—red, yellow, black, or nearly transparent. Often solitary or in pairs, it feeds on mysids and small shrimp. Its unusual body shape and intricate patterns make it hard to spot. Listed as Least Concern by IUCN.","body: The Ornate ghost pipefish has a long, slender body shape, typically growing to a length of 6-8 inches (15-20 cm), with a maximum recorded length of 9 inches (23 cm); colors: The Ornate ghost pipefish has a mottled brown and yellow coloration, with intricate patterns of darker and lighter shades, often featuring vertical stripes or blotches, allowing for effective camouflage; features: The Ornate ghost pipefish has a distinctive head shape, with a long, pointed snout and large, wing-like pectoral fins, which are used for balance and maneuverability, while the dorsal fin is relatively small; unique_marks: A distinctive characteristic of the Ornate ghost pipefish is the presence of a pair of long, thin filaments protruding from the snout, often mistaken for antennae, and a unique pattern of spots or stripes on the belly, which can be used to distinguish individuals.","Reef edges, seagrass beds and gorgonians from Red Sea to Tonga; depth range 3–35 m (occasionally to 50 m).",12,1.5,15,0.015
